Year,Month,Day,Hour,Minute,Second,Latitude (WGS84),Longitude (WGS84),Depth [km],Magnitude [ML],ML Standard Deviation,Magnitude [MA],MA Standard Deviation,Identifier
2007,1,16,22,37,48.84,-20.5299,-68.97887,105.36,1.702,0.017,1.839,0.025,ID
2007,1,16,23,21,54.96,-19.7102,-69.29561,100.39,1.954,0.034,2.104,0.035,ID
2007,1,17,2,23,14.36,-21.43013,-68.35343,108.8,2.185,0.028,2.319,0.029,ID
2007,1,17,2,43,0.12,-19.99258,-69.17488,95.61,1.369,0.018,1.537,0.022,ID
2007,1,17,2,51,36.62,-21.37826,-68.5924,119.76,1.705,0.035,1.792,0.032,ID
2007,1,17,3,51,3.55,-20.3801,-69.39101,101.81,1.824,0.026,1.963,0.026,ID
2007,1,17,5,13,28.09,-20.19144,-69.07519,92.93,1.279,0.024,1.466,0.027,ID
2007,1,17,6,27,23.23,-20.61682,-69.51083,71.75,1.264,0.013,1.506,0.014,ID
2007,1,17,9,45,41.16,-19.78624,-69.81261,73.34,1.302,0.02,1.541,0.026,P2
2007,1,17,9,58,44.83,-20.85155,-70.46485,31.22,1.975,0.037,2.216,0.029,P1
2007,1,17,10,19,6.36,-21.11696,-68.89571,107.89,1.536,0.012,1.666,0.01,ID
2007,1,17,10,31,20.95,-20.20816,-69.19743,100.17,2.26,0.018,2.402,0.025,ID
2007,1,17,11,36,57.72,-21.31125,-68.62651,126.06,1.891,0.043,1.926,0.043,ID
2007,1,17,13,23,2.83,-19.81734,-68.84024,7.25,1.5,0.038,1.641,0.043,UP
2007,1,17,14,14,40.49,-20.17715,-69.20739,91.44,2.708,0.021,2.935,0.022,ID
2007,1,17,15,35,6.87,-21.0033,-68.82207,1.75,1.588,0.028,1.796,0.036,MI
2007,1,17,16,44,43.52,-20.34581,-69.02821,92.77,2.102,0.029,2.27,0.026,ID
2007,1,17,17,28,38.8,-20.59616,-69.61697,62.21,1.076,0.022,1.351,0.031,P1
2007,1,17,17,52,22.62,-20.21068,-68.79833,107.89,1.845,0.022,1.97,0.02,ID
2007,1,17,18,16,24.22,-21.81414,-68.60345,121.74,2.697,0.02,2.729,0.021,ID
2007,1,17,20,36,35.84,-19.92619,-70.00899,57.87,1.469,0.02,1.735,0.015,P2
2007,1,18,0,4,21.6,-20.00724,-69.18158,98.87,2.262,0.023,2.42,0.022,ID
2007,1,18,0,41,17.05,-20.87401,-69.1075,116.96,1.557,0.024,1.645,0.028,ID
2007,1,18,0,51,46.96,-21.07928,-68.66059,105.51,2.536,0.026,2.696,0.023,ID
2007,1,18,4,58,37.31,-21.74364,-68.6837,122.77,1.823,0.022,1.871,0.023,ID
2007,1,18,5,33,25.38,-21.09971,-70.32598,61.17,1.319,0.022,1.58,0.021,P3
2007,1,18,6,39,46.16,-20.59594,-69.12968,106.17,1.678,0.029,1.82,0.023,ID
2007,1,18,8,50,34.41,-19.83591,-69.25077,98.02,2.198,0.042,2.373,0.046,ID
2007,1,18,10,26,52.34,-20.27933,-68.75675,114.77,4.826,0.057,4.876,0.031,ID
2007,1,18,10,35,42.31,-21.22665,-68.51333,105.41,2.043,0.021,2.164,0.026,ID
2007,1,18,10,58,23.74,-20.62864,-68.76706,110.55,1.802,0.02,1.91,0.018,ID
2007,1,18,12,5,45.64,-20.67753,-70.67639,20.04,1.432,0.019,1.617,0.019,P1
2007,1,18,12,31,27.57,-21.49544,-68.41684,120.73,2.318,0.019,2.377,0.023,ID
2007,1,18,12,59,42.68,-21.28606,-68.63864,110.74,2.764,0.029,2.903,0.034,ID
2007,1,18,16,13,18.85,-21.29659,-68.61881,125.64,1.93,0.021,2.0,0.023,ID
2007,1,18,17,8,40.78,-20.89955,-68.94049,105.7,2.034,0.023,2.164,0.025,ID
2007,1,18,19,22,53.32,-21.0039,-68.81676,2.94,1.516,0.031,1.744,0.033,MI
2007,1,18,20,48,32.86,-20.87963,-70.04064,10.45,1.672,0.019,1.879,0.026,MI
2007,1,18,22,22,56.76,-21.11543,-68.91756,113.24,1.859,0.016,1.941,0.017,ID
2007,1,18,22,31,51.02,-22.24535,-68.90953,9.38,1.404,0.028,1.586,0.029,MI
2007,1,18,22,49,5.3,-21.07224,-68.7849,106.83,2.46,0.03,2.592,0.043,ID
2007,1,18,23,30,34.2,-20.01273,-69.15444,97.25,1.857,0.014,2.017,0.01,ID
2007,1,19,0,51,20.61,-21.21175,-68.51227,104.21,1.486,0.02,1.63,0.014,ID
2007,1,19,4,6,35.63,-21.84381,-68.62535,114.94,1.632,0.029,1.734,0.027,ID
2007,1,19,4,34,34.31,-20.61816,-68.20912,138.96,3.19,0.038,3.247,0.045,ID
2007,1,19,4,41,43.98,-21.10045,-68.54628,123.12,2.352,0.027,2.408,0.022,ID
2007,1,19,5,5,17.06,-20.94951,-68.92963,99.7,1.265,0.031,1.434,0.032,ID
2007,1,19,5,28,23.11,-21.31543,-68.42139,122.94,1.884,0.032,1.923,0.034,ID
2007,1,19,5,43,54.68,-20.49406,-69.91589,64.45,1.374,0.027,1.615,0.028,P2
2007,1,19,6,41,27.2,-21.07438,-68.92138,107.68,1.576,0.015,1.708,0.016,ID
2007,1,19,6,50,33.63,-21.03887,-68.53516,125.3,1.678,0.026,1.769,0.031,ID
2007,1,19,9,23,22.22,-21.50265,-68.41127,116.65,4.04,0.026,4.212,0.025,ID
2007,1,19,10,57,4.99,-21.29718,-70.48937,39.99,0.955,0.022,1.231,0.02,P2
2007,1,19,12,30,55.37,-20.87941,-69.13182,107.65,2.28,0.025,2.367,0.039,ID
2007,1,19,12,50,53.26,-21.7174,-68.36944,121.97,2.248,0.029,2.269,0.027,ID
2007,1,19,13,23,13.9,-20.0574,-69.20676,100.08,1.488,0.028,1.645,0.023,ID
2007,1,19,16,2,28.05,-22.25879,-68.95833,7.87,1.724,0.009,1.955,0.021,MI
2007,1,19,16,44,51.5,-20.96718,-68.70675,3.47,1.548,0.015,1.659,0.02,MI
2007,1,19,16,59,58.61,-22.37781,-70.23128,2.68,1.983,0.039,2.237,0.045,MI
2007,1,19,19,15,38.26,-20.73121,-68.86187,100.28,1.863,0.03,2.014,0.032,ID
2007,1,19,19,53,46.18,-19.90808,-69.8649,9.23,1.558,0.019,1.693,0.02,UP
2007,1,19,20,44,7.76,-21.38411,-68.65525,103.39,1.688,0.043,1.812,0.034,ID
2007,1,19,23,2,59.52,-20.43823,-69.0175,95.47,1.538,0.023,1.696,0.027,ID
2007,1,19,23,21,24.52,-21.21158,-68.62895,106.7,3.212,0.026,3.326,0.027,ID
2007,1,20,0,42,31.41,-21.73313,-68.47626,100.94,2.285,0.023,2.42,0.023,ID
2007,1,20,1,27,15.2,-20.34189,-68.86572,91.47,1.383,0.03,1.58,0.032,ID
2007,1,20,3,9,15.36,-20.87678,-69.04879,105.79,1.794,0.007,1.923,0.009,ID
2007,1,20,5,51,46.08,-21.07869,-68.46347,133.37,2.036,0.023,2.043,0.019,ID
2007,1,20,7,43,45.27,-19.66954,-70.6101,28.61,1.852,0.021,2.089,0.03,P1
2007,1,20,8,2,21.82,-21.26533,-68.73212,128.58,1.796,0.035,1.789,0.021,ID
2007,1,20,8,6,22.88,-21.45908,-69.65745,29.83,1.053,0.029,1.246,0.028,UP
2007,1,20,8,39,45.16,-19.95447,-69.21879,91.32,1.492,0.016,1.68,0.028,ID
2007,1,20,11,14,58.83,-20.23897,-69.20628,95.36,1.224,0.022,1.415,0.019,ID
2007,1,20,12,18,39.53,-21.28462,-68.84652,116.93,2.019,0.025,2.088,0.023,ID
2007,1,20,12,28,38.22,-21.05787,-68.96967,110.25,1.542,0.024,1.675,0.026,ID
2007,1,20,13,41,57.45,-21.34695,-68.65194,127.66,1.957,0.026,2.005,0.017,ID
2007,1,20,14,49,49.14,-20.11415,-69.17713,90.44,1.665,0.037,1.85,0.034,ID
2007,1,20,15,6,10.75,-19.87074,-69.16852,99.73,2.091,0.019,2.245,0.023,ID
2007,1,20,18,51,24.5,-20.20024,-69.21708,90.82,1.356,0.025,1.553,0.025,ID
2007,1,20,19,52,20.36,-21.09875,-68.94887,112.05,2.363,0.018,2.456,0.017,ID
2007,1,20,22,20,45.16,-20.24968,-69.14347,92.69,1.574,0.02,1.76,0.022,ID
2007,1,20,23,3,36.88,-20.87058,-68.95624,111.22,1.474,0.015,1.598,0.015,ID
2007,1,20,23,42,50.32,-19.93732,-69.12117,98.88,2.003,0.028,2.137,0.036,ID
2007,1,21,2,45,14.07,-20.2372,-69.15786,87.28,1.057,0.015,1.282,0.021,ID
2007,1,21,3,26,24.8,-19.82796,-69.24034,93.57,1.165,0.023,1.363,0.021,ID
2007,1,21,3,56,45.48,-20.21767,-69.21169,92.35,1.335,0.067,1.502,0.058,ID
2007,1,21,4,6,0.03,-21.19275,-68.4673,127.03,2.417,0.025,2.439,0.029,ID
2007,1,21,4,51,36.84,-21.34161,-69.86873,46.08,0.775,0.017,1.055,0.026,UP
2007,1,21,5,47,50.39,-21.1568,-68.71758,109.73,3.28,0.04,3.411,0.041,ID
2007,1,21,5,58,15.48,-21.60373,-69.10211,86.48,1.673,0.032,1.874,0.033,P2
2007,1,21,6,42,41.43,-19.98322,-69.13552,102.36,1.748,0.031,1.888,0.025,ID
2007,1,21,7,22,35.32,-20.80532,-69.24709,84.89,2.9,0.03,3.138,0.037,ID
2007,1,21,8,3,2.01,-21.2731,-70.41164,29.24,0.82,0.044,1.072,0.031,P1
2007,1,21,8,6,16.54,-22.40686,-68.19679,166.79,2.993,0.037,2.962,0.034,NN
2007,1,21,14,50,0.39,-21.14267,-68.74414,100.79,1.4,0.032,1.568,0.028,ID
2007,1,21,16,24,42.63,-20.94742,-68.72732,2.27,1.4,0.033,1.554,0.034,MI
2007,1,21,16,39,18.94,-20.45019,-69.10337,88.59,1.828,0.031,2.006,0.033,ID
2007,1,21,17,2,59.66,-21.58663,-68.69115,110.41,1.732,0.027,1.822,0.033,ID
2007,1,21,18,17,43.36,-21.09796,-68.83691,111.47,1.527,0.024,1.649,0.024,ID
2007,1,21,18,51,32.22,-22.58193,-68.71229,110.04,2.48,0.027,2.571,0.033,ID
2007,1,21,20,41,27.74,-20.74333,-69.19948,100.93,3.253,0.045,3.405,0.057,ID
2007,1,21,21,42,50.36,-21.30183,-68.78361,105.77,1.989,0.029,2.126,0.032,ID
2007,1,21,21,52,19.96,-20.98138,-68.5912,86.68,1.431,0.031,1.642,0.029,ID
2007,1,21,23,23,8.28,-20.10954,-69.15045,88.37,1.228,0.043,1.448,0.044,ID
2007,1,21,23,25,57.8,-20.95504,-68.7453,98.92,1.607,0.022,1.773,0.021,ID
2007,1,21,23,46,22.16,-20.05731,-69.20038,89.84,1.373,0.025,1.577,0.028,ID
2007,1,22,0,18,58.14,-21.52473,-68.33044,137.29,2.623,0.021,2.639,0.021,ID
2007,1,22,1,34,32.17,-21.19407,-70.2604,45.18,1.123,0.021,1.382,0.016,P2
2007,1,22,2,2,1.37,-21.22467,-68.70206,90.22,0.904,0.021,1.166,0.019,ID
2007,1,22,2,12,20.92,-21.56839,-69.84334,34.51,0.918,0.02,1.145,0.024,UP
2007,1,22,2,25,39.64,-21.20836,-68.59656,134.26,1.861,0.022,1.888,0.024,ID
2007,1,22,2,51,5.59,-20.95769,-69.54529,66.68,1.275,0.027,1.529,0.032,ID
2007,1,22,4,55,39.14,-20.87428,-69.68067,71.72,1.203,0.014,1.452,0.016,P2
2007,1,22,5,14,20.8,-19.67182,-69.19573,101.25,1.544,0.018,1.707,0.022,ID
2007,1,22,6,15,53.58,-21.07706,-68.58609,109.45,1.833,0.029,1.927,0.039,ID
2007,1,22,7,35,53.36,-21.09611,-69.88205,36.91,1.096,0.014,1.315,0.015,UP
2007,1,22,7,40,7.68,-21.20145,-68.80745,102.43,1.56,0.018,1.689,0.018,ID
2007,1,22,7,52,43.3,-20.63435,-69.19107,82.05,1.316,0.026,1.534,0.024,ID
2007,1,22,8,5,53.3,-20.73189,-68.85499,102.87,1.314,0.03,1.482,0.033,ID
2007,1,22,8,52,14.07,-20.15479,-69.19347,89.39,1.496,0.024,1.683,0.028,ID
2007,1,22,8,55,23.09,-20.55459,-70.12596,55.41,1.455,0.024,1.712,0.039,P2
2007,1,22,9,12,32.95,-21.54153,-69.95146,39.03,1.808,0.026,2.008,0.03,UP
2007,1,22,9,22,18.2,-20.48704,-69.2628,88.34,0.965,0.023,1.211,0.015,ID
2007,1,22,9,49,31.38,-21.30824,-69.79442,83.72,1.564,0.023,1.777,0.024,P3
2007,1,22,10,32,11.07,-22.03455,-68.63504,111.8,2.365,0.027,2.474,0.028,ID
2007,1,22,11,15,14.42,-21.52965,-68.33204,151.02,2.588,0.022,2.577,0.021,ID
2007,1,22,13,2,26.09,-21.1131,-68.96165,109.44,1.372,0.016,1.489,0.024,ID
2007,1,22,14,29,22.53,-21.21265,-69.21108,38.32,1.268,0.029,1.489,0.022,UP
2007,1,22,14,34,28.46,-21.72513,-68.50177,139.44,2.483,0.019,2.479,0.022,ID
2007,1,22,15,2,31.66,-20.04166,-69.15865,94.26,1.364,0.02,1.537,0.02,ID
2007,1,22,15,56,29.86,-21.02178,-68.78247,5.52,1.745,0.082,2.014,0.067,MI
2007,1,22,16,59,16.8,-20.0022,-69.18095,102.04,1.914,0.012,2.049,0.018,ID
2007,1,22,17,39,3.64,-20.95972,-68.6424,5.08,1.525,0.029,1.722,0.046,MI
2007,1,22,18,1,20.04,-21.86728,-69.82204,66.52,1.859,0.04,2.087,0.043,P2
2007,1,22,18,57,39.6,-19.8766,-69.93602,63.34,1.02,0.025,1.291,0.032,P2
2007,1,22,19,35,36.36,-21.44752,-68.37606,100.61,1.472,0.028,1.607,0.028,ID
2007,1,22,23,47,5.24,-20.90826,-69.64924,10.11,1.403,0.026,1.628,0.024,MI
2007,1,23,0,17,54.92,-21.92335,-68.4519,117.48,2.438,0.005,2.495,0.011,ID
2007,1,23,0,30,0.91,-21.90827,-68.81615,116.3,1.736,0.035,1.805,0.037,ID
2007,1,23,0,41,46.95,-20.91188,-68.89574,99.1,1.443,0.016,1.617,0.014,ID
2007,1,23,1,27,30.19,-20.87058,-70.16399,68.39,2.065,0.023,2.346,0.031,P3
2007,1,23,2,44,7.05,-20.8016,-69.09559,104.49,1.411,0.016,1.554,0.02,ID
2007,1,23,3,6,56.87,-20.36198,-69.41123,88.59,3.034,0.028,3.267,0.037,ID
2007,1,23,4,34,13.1,-20.71585,-70.63492,22.94,2.038,0.028,2.252,0.022,P1
2007,1,23,5,51,21.78,-21.16954,-68.90362,97.18,1.358,0.015,1.536,0.02,ID
2007,1,23,6,23,25.14,-21.90878,-68.45334,112.48,2.285,0.027,2.362,0.032,ID
2007,1,23,9,42,27.26,-22.08665,-68.58266,119.27,2.226,0.013,2.283,0.011,ID
2007,1,23,10,10,22.33,-21.12729,-68.80888,106.89,1.932,0.027,2.058,0.028,ID
2007,1,23,10,53,18.8,-21.11089,-68.91923,109.33,1.6,0.022,1.729,0.016,ID
2007,1,23,12,19,38.18,-20.92125,-69.78616,28.9,0.96,0.022,1.197,0.02,UP
2007,1,23,15,46,33.41,-21.0043,-68.81579,2.36,1.562,0.016,1.774,0.016,MI
2007,1,23,16,29,20.88,-21.81802,-70.15047,64.87,1.509,0.02,1.751,0.024,P3
2007,1,23,17,2,2.92,-20.83632,-69.13547,108.23,1.888,0.02,1.996,0.021,ID
2007,1,23,17,10,48.78,-19.69104,-69.30156,99.02,1.978,0.018,2.166,0.016,ID
2007,1,23,17,37,18.8,-21.58672,-68.49277,101.6,2.39,0.038,2.568,0.012,ID
2007,1,23,20,13,29.7,-21.05356,-68.97896,113.34,2.742,0.033,2.859,0.035,ID
2007,1,23,20,23,40.82,-20.1285,-69.16598,94.56,2.67,0.029,2.874,0.032,ID
2007,1,23,22,22,17.6,-21.30676,-68.83885,107.14,1.359,0.021,1.518,0.021,ID
2007,1,23,22,30,23.8,-21.57794,-68.45295,113.67,2.462,0.014,2.54,0.018,ID
2007,1,23,22,42,15.28,-20.0601,-69.12417,93.77,2.02,0.025,2.19,0.029,ID
2007,1,23,23,53,18.56,-21.17795,-68.03766,177.72,2.578,0.022,2.571,0.027,ID
2007,1,24,1,1,24.22,-20.01367,-69.19056,96.41,1.305,0.031,1.491,0.029,ID
2007,1,24,1,28,17.48,-20.14519,-69.15862,98.92,2.067,0.02,2.214,0.017,ID
2007,1,24,2,2,54.23,-20.81406,-69.12069,103.36,1.586,0.026,1.723,0.025,ID
2007,1,24,2,59,0.85,-22.06416,-67.51549,190.06,3.243,0.038,3.236,0.03,NN
2007,1,24,3,2,42.76,-21.10733,-68.88753,109.78,1.906,0.014,1.994,0.012,ID
2007,1,24,3,22,45.67,-21.50345,-68.29586,150.5,1.963,0.029,1.98,0.028,ID
2007,1,24,3,27,46.95,-21.72638,-70.33532,30.78,1.05,0.025,1.27,0.033,UP
2007,1,24,5,42,2.7,-20.70891,-69.0505,105.02,1.178,0.029,1.354,0.024,ID
2007,1,24,5,47,52.02,-21.92902,-68.41261,119.47,2.943,0.037,2.995,0.039,ID
2007,1,24,6,9,38.31,-22.03224,-68.68229,115.76,2.338,0.025,2.415,0.022,ID
2007,1,24,7,11,12.81,-19.96856,-69.17884,100.45,2.041,0.016,2.197,0.018,ID
2007,1,24,7,13,29.98,-20.8705,-70.07926,31.53,1.126,0.018,1.357,0.014,UP
2007,1,24,8,54,49.13,-21.45806,-68.35784,121.6,2.784,0.031,2.862,0.029,ID
2007,1,24,9,30,56.07,-21.84806,-68.47393,109.42,2.471,0.018,2.572,0.024,ID
2007,1,24,9,42,55.59,-21.55728,-68.27202,152.72,1.935,0.024,1.981,0.027,ID
2007,1,24,11,31,59.69,-21.17055,-70.17708,69.44,2.402,0.027,2.66,0.024,P3
2007,1,24,11,43,23.79,-21.12036,-68.997,110.67,1.58,0.021,1.685,0.02,ID
2007,1,24,12,17,11.42,-20.02174,-69.18609,96.14,1.556,0.021,1.719,0.025,ID
2007,1,24,13,3,25.52,-20.84161,-69.15191,104.11,1.501,0.019,1.636,0.024,ID
2007,1,24,13,5,29.82,-20.99318,-68.81871,110.49,1.562,0.02,1.671,0.017,ID
2007,1,24,13,10,14.82,-20.93102,-68.70688,127.11,2.005,0.02,2.062,0.024,ID
2007,1,24,14,14,2.58,-21.75493,-68.67456,120.9,2.15,0.04,2.192,0.045,ID
2007,1,24,14,18,28.4,-20.89764,-70.3947,62.37,2.657,0.037,2.948,0.042,P3
2007,1,24,15,30,56.02,-21.5012,-69.62463,25.71,1.137,0.019,1.297,0.01,UP
2007,1,24,15,39,53.31,-20.55714,-69.24737,101.87,1.251,0.026,1.45,0.016,ID
2007,1,24,16,25,43.41,-21.08327,-68.94929,107.1,1.632,0.028,1.741,0.024,ID
2007,1,24,18,3,47.2,-20.84479,-68.87013,100.23,2.807,0.034,2.975,0.039,ID
2007,1,24,18,37,17.24,-20.71087,-70.61683,23.27,1.972,0.016,2.145,0.019,P1
2007,1,24,19,49,7.0,-21.28151,-68.75525,106.86,1.604,0.021,1.719,0.024,ID
2007,1,24,20,11,18.0,-21.17501,-68.47563,120.39,2.479,0.017,2.532,0.018,ID
2007,1,24,23,17,59.02,-20.0995,-69.18724,94.09,1.68,0.018,1.847,0.018,ID
2007,1,25,1,4,51.92,-21.80689,-68.83062,106.0,1.58,0.016,1.719,0.017,ID
2007,1,25,3,33,49.87,-20.02567,-69.18239,102.2,3.457,0.05,3.676,0.047,ID
2007,1,25,3,59,14.89,-21.10139,-68.79548,107.81,1.71,0.022,1.822,0.033,ID
2007,1,25,5,52,35.58,-21.76228,-68.48193,118.72,2.718,0.027,2.784,0.025,ID
2007,1,25,6,36,56.71,-19.78998,-69.29836,99.01,2.225,0.02,2.361,0.017,ID
2007,1,25,7,11,5.2,-21.26373,-69.7031,56.91,1.508,0.024,1.736,0.02,P1
2007,1,25,7,50,8.82,-22.4238,-68.63254,115.31,3.339,0.025,3.467,0.029,ID
2007,1,25,8,7,53.84,-20.40457,-69.32327,107.15,2.319,0.02,2.42,0.02,ID
2007,1,25,8,26,8.09,-20.86519,-68.51714,111.66,1.929,0.04,2.043,0.038,ID
2007,1,25,8,44,45.88,-21.82577,-68.46583,119.92,2.904,0.016,2.977,0.017,ID
2007,1,25,13,5,7.85,-21.9694,-68.64825,106.46,2.047,0.025,2.147,0.024,ID
2007,1,25,13,25,31.38,-20.67477,-69.12548,109.8,1.702,0.016,1.818,0.015,ID
2007,1,25,13,40,36.24,-20.13906,-69.16186,95.86,1.948,0.011,2.1,0.012,ID
2007,1,25,14,6,15.3,-20.49007,-69.02184,99.84,1.689,0.021,1.834,0.023,ID
2007,1,25,14,47,17.04,-21.20788,-67.87924,153.74,2.625,0.037,2.612,0.027,NN
2007,1,25,15,8,46.46,-21.19493,-68.5933,118.33,1.846,0.014,1.921,0.013,ID
2007,1,25,16,6,22.25,-21.08708,-68.912,108.45,1.827,0.017,1.923,0.02,ID
2007,1,25,16,33,17.97,-22.78384,-69.284,0.83,1.791,0.033,1.975,0.038,MI
2007,1,25,17,19,28.44,-20.81228,-69.10791,101.51,1.503,0.018,1.632,0.018,ID
2007,1,25,17,39,19.48,-21.59227,-68.43022,118.47,2.438,0.019,2.492,0.021,ID
2007,1,25,18,39,57.52,-21.21899,-68.40645,119.56,1.916,0.018,1.993,0.025,ID
2007,1,25,23,1,40.34,-21.32845,-68.7396,118.17,2.843,0.026,2.926,0.03,ID
2007,1,26,0,15,9.22,-20.46254,-70.42667,41.13,2.318,0.034,2.588,0.039,P2
2007,1,26,0,56,51.0,-20.83957,-68.96187,97.89,1.3,0.029,1.481,0.026,ID
2007,1,26,1,51,30.45,-19.8303,-70.5046,49.57,1.766,0.022,2.027,0.024,P2
2007,1,26,3,38,57.84,-20.71252,-68.89766,95.97,2.38,0.029,2.548,0.029,ID
2007,1,26,3,41,37.13,-20.30392,-69.03379,99.53,1.266,0.031,1.475,0.05,ID
2007,1,26,4,48,38.87,-20.22985,-69.21896,87.58,1.885,0.026,2.057,0.026,ID
2007,1,26,4,52,22.47,-20.17382,-69.15367,99.44,2.135,0.012,2.27,0.016,ID
2007,1,26,4,56,21.68,-20.17343,-69.64319,39.82,1.359,0.037,1.578,0.037,UP
2007,1,26,5,40,46.65,-22.27458,-67.52276,174.86,2.406,0.035,2.394,0.028,NN
2007,1,26,7,41,23.67,-21.35412,-70.24849,38.68,1.764,0.028,1.999,0.031,P1
2007,1,26,8,28,42.18,-20.70569,-69.11853,87.36,1.411,0.015,1.611,0.021,ID
2007,1,26,9,16,49.77,-21.13956,-68.88235,113.2,3.383,0.042,3.531,0.04,ID
2007,1,26,10,47,9.19,-21.20443,-68.72513,116.67,1.493,0.038,1.608,0.041,ID
2007,1,26,10,59,19.97,-20.39396,-68.96039,96.3,1.387,0.015,1.564,0.015,ID
2007,1,26,11,16,52.79,-21.71647,-68.6779,143.66,2.102,0.025,2.089,0.018,NN
2007,1,26,11,37,46.58,-20.54293,-68.91767,99.55,1.883,0.027,2.061,0.029,ID
2007,1,26,12,55,51.57,-19.25114,-69.1491,119.67,2.403,0.035,2.453,0.029,ID
2007,1,26,16,30,38.39,-20.83658,-69.14514,107.81,3.053,0.052,3.219,0.047,ID
2007,1,26,16,32,54.51,-20.85274,-68.85918,98.77,1.689,0.019,1.841,0.019,ID
2007,1,26,16,58,23.67,-21.94342,-69.60861,47.86,1.296,0.02,1.509,0.016,UP
2007,1,26,17,5,30.32,-20.21425,-68.78045,118.76,3.58,0.029,3.698,0.025,ID
2007,1,26,17,29,23.32,-20.96501,-68.70249,2.63,1.56,0.025,1.742,0.015,MI
2007,1,26,19,52,52.96,-21.00315,-68.81452,3.27,1.574,0.033,1.83,0.043,MI
2007,1,26,20,21,20.0,-22.30683,-68.9464,7.53,1.609,0.02,1.839,0.029,MI
2007,1,27,0,49,41.62,-21.14148,-68.37736,117.95,3.261,0.034,3.347,0.041,ID
2007,1,27,1,5,24.23,-20.29417,-69.23878,94.66,3.63,0.044,3.811,0.053,ID
2007,1,27,1,46,27.44,-21.66952,-68.48932,142.39,1.972,0.016,1.989,0.024,ID
2007,1,27,6,13,25.61,-19.88133,-69.19674,97.44,1.532,0.022,1.703,0.024,ID
2007,1,27,6,20,18.57,-20.25735,-69.1262,97.21,2.002,0.02,2.141,0.026,ID
2007,1,27,6,44,8.77,-20.15257,-69.16801,99.61,1.95,0.03,2.091,0.031,ID
2007,1,27,7,7,15.95,-21.499,-69.98704,53.63,1.004,0.017,1.276,0.016,P2
2007,1,27,7,15,50.01,-19.96456,-69.34583,111.52,1.826,0.025,1.928,0.024,ID
2007,1,27,11,20,41.39,-21.70254,-68.34825,109.16,2.459,0.027,2.57,0.03,ID
2007,1,27,11,41,15.38,-20.97818,-68.73798,8.05,1.544,0.012,1.72,0.018,MI
2007,1,27,12,6,52.35,-21.18852,-68.84342,108.9,1.785,0.02,1.896,0.017,ID
2007,1,27,12,46,36.26,-22.05598,-70.12052,72.56,2.051,0.025,2.293,0.028,P3
2007,1,27,16,4,55.67,-21.46043,-68.37176,129.37,2.292,0.037,2.318,0.037,ID
2007,1,27,17,48,52.5,-21.05607,-68.9912,108.1,2.303,0.021,2.422,0.023,ID
2007,1,27,18,54,10.28,-21.106,-69.89174,21.98,1.693,0.019,1.887,0.024,UP
2007,1,27,19,52,34.1,-21.00584,-68.81514,1.3,1.597,0.016,1.785,0.016,MI
2007,1,27,20,40,41.82,-22.2316,-68.73154,103.78,3.512,0.026,3.725,0.026,ID
2007,1,27,23,56,35.06,-21.00266,-68.42604,131.11,2.415,0.017,2.451,0.022,ID
2007,1,28,0,5,31.21,-20.96858,-68.80121,103.95,2.103,0.023,2.289,0.039,ID
2007,1,28,0,12,46.75,-21.8032,-68.61412,99.39,1.365,0.038,1.561,0.025,ID
2007,1,28,0,23,45.63,-20.75215,-67.97043,176.0,2.659,0.029,2.658,0.037,NN
2007,1,28,0,40,27.61,-19.56715,-69.24797,11.03,1.496,0.05,1.636,0.053,UP
2007,1,28,3,17,46.5,-21.15574,-68.82928,102.41,1.623,0.019,1.764,0.017,ID
2007,1,28,4,23,16.88,-21.08445,-68.97118,111.33,1.972,0.023,2.064,0.019,ID
2007,1,28,5,16,34.33,-22.02145,-68.69552,104.74,2.343,0.029,2.454,0.032,ID
2007,1,28,7,16,23.76,-20.93905,-68.74733,98.57,1.769,0.028,1.927,0.028,ID
2007,1,28,7,56,53.23,-21.25489,-68.76536,113.82,1.714,0.025,1.808,0.024,ID
2007,1,28,9,12,59.62,-20.86765,-69.02056,108.44,1.438,0.019,1.574,0.02,ID
2007,1,28,9,36,37.91,-21.22817,-68.3668,115.74,1.897,0.016,1.976,0.024,ID
2007,1,28,12,22,11.24,-20.5894,-69.10849,87.2,2.29,0.021,2.465,0.029,ID
2007,1,28,12,46,56.9,-21.3545,-68.29753,109.59,1.64,0.025,1.773,0.021,ID
2007,1,28,13,20,48.62,-21.2443,-68.72087,116.23,1.954,0.015,2.047,0.017,ID
2007,1,28,13,46,30.8,-20.14742,-69.25292,99.38,1.71,0.019,1.847,0.016,ID
2007,1,28,15,56,5.41,-20.62626,-68.9228,104.98,2.713,0.025,2.858,0.013,ID
2007,1,28,15,58,47.25,-20.4205,-70.09836,55.07,1.389,0.028,1.655,0.029,P2
2007,1,28,16,33,57.26,-19.97483,-69.16934,99.1,1.672,0.015,1.841,0.013,ID
2007,1,28,16,58,36.67,-20.97022,-68.69125,2.78,1.702,0.024,1.872,0.028,MI
2007,1,28,23,54,59.6,-21.12522,-68.85852,110.17,1.758,0.012,1.86,0.012,ID
2007,1,29,0,0,52.12,-21.02698,-68.65841,112.29,1.4,0.034,1.555,0.02,ID
2007,1,29,0,34,49.5,-21.76372,-68.5884,139.32,2.065,0.015,2.093,0.022,ID
